GPU,Queue,Graph,Vertices,Edges,Threads,Block,Time_med_s,Time_iqr_s,TEPS_med_Gedges/s,TEPS_iqr_Gedges/s
MI300A,GWFQ,../gunrock/datasets/ak2010/ak2010.mtx,45292,217098,8192,256,22.6361,0.703061,0.0166263,0.000722432
MI300A,GLFQ,../gunrock/datasets/ak2010/ak2010.mtx,45292,217098,1024,256,9.97205,0.03817,0.0264408,0.000285956
MI300A,GWFQ,../gunrock/datasets/ak2010/ak2010.mtx,45292,217098,1024,256,18.9952,0.083261,0.0221789,0.000115017
MI300A,GLFQ,../gunrock/datasets/ak2010/ak2010.mtx,45292,217098,2048,256,9.16075,0.02822,0.0295086,0.000215225
MI300A,GWFQ,../gunrock/datasets/ak2010/ak2010.mtx,45292,217098,2048,256,17.9979,0.116991,0.0250878,0.00018047
MI300A,GLFQ,../gunrock/datasets/ak2010/ak2010.mtx,45292,217098,4096,256,9.77325,0.0714,0.0266386,7.12198e-05
MI300A,GWFQ,../gunrock/datasets/ak2010/ak2010.mtx,45292,217098,4096,256,18.8322,0.161981,0.0230608,0.000502995
MI300A,GLFQ,../gunrock/datasets/ak2010/ak2010.mtx,45292,217098,8192,256,15.2961,0.603564,0.015591,0.000712523
MI300A,GWFQ,../gunrock/datasets/ak2010/ak2010.mtx,45292,217098,8192,256,23.0309,0.152992,0.0161298,5.5739e-05
MI300A,GLFQ,../gunrock/datasets/ak2010/ak2010.mtx,45292,217098,16384,256,34.0655,0.195612,0.00639462,3.82599e-05
MI300A,GWFQ,../gunrock/datasets/ak2010/ak2010.mtx,45292,217098,16384,256,32.562,2.19365,0.00911257,0.000902121
MI300A,GLFQ,../gunrock/datasets/belgium_osm/belgium_osm.mtx,1441295,3099940,1024,256,114.507,0.417744,0.0333153,2.28412e-05
MI300A,GWFQ,../gunrock/datasets/belgium_osm/belgium_osm.mtx,1441295,3099940,1024,256,138.565,0.139711,0.0281654,9.53386e-05
MI300A,GLFQ,../gunrock/datasets/belgium_osm/belgium_osm.mtx,1441295,3099940,2048,256,132.031,2.77702,0.0288431,0.000296924
MI300A,GWFQ,../gunrock/datasets/belgium_osm/belgium_osm.mtx,1441295,3099940,2048,256,160.048,45.582,0.0246965,8.09564e-05
MI300A,GLFQ,../gunrock/datasets/belgium_osm/belgium_osm.mtx,1441295,3099940,4096,256,170.257,38.4402,0.0205586,0.000152348
MI300A,GWFQ,../gunrock/datasets/belgium_osm/belgium_osm.mtx,1441295,3099940,4096,256,217.934,1.74292,0.0167381,0.000117353
MI300A,GLFQ,../gunrock/datasets/belgium_osm/belgium_osm.mtx,1441295,3099940,8192,256,367.039,4.07716,0.0090338,0.000104353
MI300A,GWFQ,../gunrock/datasets/belgium_osm/belgium_osm.mtx,1441295,3099940,8192,256,215.135,22.901,0.0112449,0.00140648
MI300A,GLFQ,../gunrock/datasets/belgium_osm/belgium_osm.mtx,1441295,3099940,16384,256,950.471,26.0274,0.00334851,8.98049e-05
MI300A,GWFQ,../gunrock/datasets/belgium_osm/belgium_osm.mtx,1441295,3099940,16384,256,252.059,399.048,0.00955445,0.00612171
MI300A,GLFQ,../gunrock/datasets/europe_osm/europe_osm.mtx,50912018,108109320,1024,256,2419.08,15.5993,0.0501349,0.000531071
MI300A,GWFQ,../gunrock/datasets/europe_osm/europe_osm.mtx,50912018,108109320,1024,256,2615.02,12.3802,0.0433051,6.08448e-05
MI300A,GLFQ,../gunrock/datasets/europe_osm/europe_osm.mtx,50912018,108109320,2048,256,2333.89,33.7781,0.0515393,0.000215387
MI210,GLFQ,../gunrock/datasets/europe_osm/europe_osm.mtx,50912018,108109320,8192,256,1278.97,4.76978,0.0979032,0.00056708
MI300A,GWFQ,../gunrock/datasets/europe_osm/europe_osm.mtx,50912018,108109320,2048,256,2512.31,20.237,0.0476994,0.000382581
MI300A,GLFQ,../gunrock/datasets/europe_osm/europe_osm.mtx,50912018,108109320,4096,256,2931.2,4.6513,0.0381502,9.26928e-05
MI300A,GWFQ,../gunrock/datasets/europe_osm/europe_osm.mtx,50912018,108109320,4096,256,3248.66,2.53029,0.0346948,7.8735e-05
MI300A,GLFQ,../gunrock/datasets/europe_osm/europe_osm.mtx,50912018,108109320,8192,256,6102.24,39.7108,0.0175799,0.000147795
MI300A,GLFQ,../gunrock/datasets/europe_osm/europe_osm.mtx,50912018,108109320,16384,256,11493.2,129.254,0.0093748,0.00010507
MI210,GLFQ,../gunrock/datasets/ak2010/ak2010.mtx,45292,217098,1024,256,7.71819,0.019351,0.0326601,9.60961e-05
MI210,GWFQ,../gunrock/datasets/ak2010/ak2010.mtx,45292,217098,1024,256,13.7992,0.041911,0.0250757,0.000156863
MI210,GLFQ,../gunrock/datasets/ak2010/ak2010.mtx,45292,217098,2048,256,6.91158,0.02602,0.0374209,0.000218673
MI210,GWFQ,../gunrock/datasets/ak2010/ak2010.mtx,45292,217098,2048,256,12.6635,0.02216,0.0291293,0.000247616
MI210,GLFQ,../gunrock/datasets/ak2010/ak2010.mtx,45292,217098,4096,256,6.875,0.057741,0.0378673,0.00020166
MI210,GWFQ,../gunrock/datasets/ak2010/ak2010.mtx,45292,217098,4096,256,12.4452,0.013001,0.0298831,7.5696e-05
MI210,GLFQ,../gunrock/datasets/ak2010/ak2010.mtx,45292,217098,8192,256,7.00112,0.153423,0.0368504,0.000754451
MI210,GWFQ,../gunrock/datasets/ak2010/ak2010.mtx,45292,217098,8192,256,12.5882,0.033122,0.0292368,5.4186e-05
MI210,GLFQ,../gunrock/datasets/belgium_osm/belgium_osm.mtx,1441295,3099940,1024,256,100.388,0.253153,0.0380587,9.25549e-05
MI210,GWFQ,../gunrock/datasets/belgium_osm/belgium_osm.mtx,1441295,3099940,1024,256,123.768,0.182712,0.0307162,4.06429e-05
