DEVICE,QUEUE,SCENE,THREADS,BOUNCES,TOTAL_RAYS,TOTAL_TIME_MS,MRAYS_PER_S
MI210,GLFQ,complex,512,2,1615536,2.03105,876.554
MI210,GLFQ,complex,512,4,1712003,2.64386,694.394
MI210,GLFQ,complex,1024,2,1615536,1.24309,1479.37
MI210,GLFQ,complex,1024,4,1712003,1.56001,1220.06
MI210,GLFQ,complex,2048,2,1615536,0.901764,2130.18
MI210,GLFQ,complex,2048,4,1712003,1.12353,1777.69
MI210,GLFQ,complex,4096,2,1615536,0.936484,2031.6
MI210,GLFQ,complex,4096,4,1712003,1.29585,1504.28
MI210,GLFQ,complex,8192,2,1615536,1.38673,1293
MI210,GLFQ,complex,8192,4,1712003,2.03553,899.609
MI210,GLFQ,cornell,512,2,2764800,1.19297,2725.1
MI210,GLFQ,cornell,512,4,4608000,1.94481,2608.2
MI210,GLFQ,cornell,1024,2,2764800,1.02657,3168.87
MI210,GLFQ,cornell,1024,4,4608000,1.67073,3033.79
MI210,GLFQ,cornell,2048,2,2764800,1.01441,3215.46
MI210,GLFQ,cornell,2048,4,4608000,1.61345,3128.72
MI210,GLFQ,cornell,4096,2,2764800,1.15393,2731.14
MI210,GLFQ,cornell,4096,4,4608000,1.74529,2907.31
MI210,GLFQ,cornell,8192,2,2764800,1.30273,2371.98
MI210,GLFQ,cornell,8192,4,4608000,1.79713,2768.42
MI210,GWFQ,complex,512,2,1615536,2.34593,806.408
MI300A,GLFQ,complex,512,2,1615536,2.88545,807.135
MI300A,GLFQ,complex,512,4,1712003,3.35614,691.971
MI300A,GLFQ,complex,1024,2,1615536,2.15097,1198
MI300A,GLFQ,complex,1024,4,1712003,11.2041,166.877
MI300A,GLFQ,complex,2048,2,1615536,2.39674,992.069
MI300A,GLFQ,complex,2048,4,1712003,3.19538,706.664
MI300A,GLFQ,complex,4096,2,1615536,3.5783,573.386
MI300A,GLFQ,complex,4096,4,1712003,5.46391,380.105
MI300A,GLFQ,complex,8192,2,1615536,6.84276,267.197
MI300A,GLFQ,complex,8192,4,1712003,22.8395,78.3751
MI300A,GLFQ,cornell,512,2,2764800,2.77994,1525.11
MI300A,GLFQ,cornell,512,4,4608000,4.23306,1356.47
MI300A,GLFQ,cornell,1024,2,2764800,2.73295,1519.65
MI300A,GLFQ,cornell,1024,4,4608000,4.29396,1364.56
MI300A,GLFQ,cornell,2048,2,2764800,2.68097,1417.29
MI300A,GLFQ,cornell,2048,4,4608000,4.21994,1319.08
MI300A,GLFQ,cornell,4096,2,2764800,3.14301,1149.7
MI300A,GLFQ,cornell,4096,4,4608000,4.75534,1144.86
MI300A,GLFQ,cornell,8192,2,2764800,4.85046,673.787
MI300A,GLFQ,cornell,8192,4,4608000,8.27003,611.541
MI300A,GWFQ,complex,512,2,1615536,2.96158,787.001
MI300A,GWFQ,complex,512,4,1711999,3.72626,621.772
MI210,GWFQ,complex,512,2,1615536,2.27265,839.67
MI300A,GWFQ,complex,1024,2,1615536,2.5199,1052.4
MI300A,GWFQ,complex,1024,4,1711999,2.74942,935.001
MI300A,GWFQ,complex,2048,2,1615536,2.46542,1101.48
MI300A,GWFQ,complex,2048,4,1711999,2.74506,956.974
MI300A,GWFQ,complex,4096,2,1615536,3.03826,871.392
MI300A,GWFQ,complex,4096,4,1711999,3.35026,732.081
MI300A,GWFQ,complex,8192,2,1615536,3.69547,600.397
MI300A,GWFQ,complex,8192,4,1711999,4.41419,504.202
MI300A,GWFQ,cornell,512,2,2764800,3.18462,1282.18
MI300A,GWFQ,cornell,512,4,4608000,5.24403,1095.17
MI300A,GWFQ,cornell,1024,2,2764800,12.8233,235.334
MI300A,GWFQ,cornell,1024,4,4608000,5.23376,1094.31
MI300A,GWFQ,cornell,2048,2,2764800,3.21902,1212.41
MI300A,GWFQ,cornell,2048,4,4608000,5.13579,1080.6
MI300A,GWFQ,cornell,4096,2,2764800,3.4393,1082.17
MI300A,GWFQ,cornell,4096,4,4608000,5.48964,1044.08
MI300A,GWFQ,cornell,8192,2,2764800,4.03599,987.309
MI300A,GWFQ,cornell,8192,4,4608000,6.41072,876.813
MI300A,SFQ,complex,512,2,1615536,127.358,12.7853
MI300A,SFQ,complex,512,4,1712004,158.685,10.8582
MI300A,SFQ,complex,1024,2,1615537,160.631,10.1169
MI300A,SFQ,complex,1024,4,1712005,205.263,8.38092
MI300A,SFQ,complex,2048,2,1615536,303.085,5.3462
MI300A,SFQ,complex,2048,4,1712004,387.304,4.43204
MI300A,SFQ,complex,4096,2,1615536,455.537,3.55421
MI300A,SFQ,complex,4096,4,1712004,545.658,3.14324
MI300A,SFQ,complex,8192,2,1615536,1126.5,1.43553
MI300A,SFQ,complex,8192,4,1712003,1150,1.49012
MI300A,SFQ,cornell,512,2,2764800,186.476,14.9078
MI300A,SFQ,cornell,512,4,4608000,327.693,14.1048
MI300A,SFQ,cornell,1024,2,2764800,269.435,10.3004
MI300A,SFQ,cornell,1024,4,4608000,402.942,11.4646
MI300A,SFQ,cornell,2048,2,2764800,407.954,6.79382
MI300A,SFQ,cornell,2048,4,4608000,834.393,5.59601
MI300A,SFQ,cornell,4096,2,2764800,849.651,3.25778
MI300A,SFQ,cornell,4096,4,4608000,1636.34,2.81781
MI300A,SFQ,cornell,8192,2,2764800,1839.27,1.50409
MI300A,SFQ,cornell,8192,4,4608000,3169.71,1.45428
MI300A,BQ-NL,complex,512,2,1615534,4.96086,520.433
MI300A,BQ-NL,complex,512,4,1711998,5.4844,462.143
MI300A,BQ-NL,complex,1024,2,1615534,4.53321,656.068
